('YP_003982012', 138)
('YP_003981630', ('YP_003977743', '0.575029679656704'))
('YP_006798210', ('YP_006799830', '0.96017921864473'))
('YP_006798745', ('YP_006797686', '0.931239293996372'))
('YP_003979169', ('YP_003979348', '0.999999999999055'))
('YP_003979168', ('YP_003977551', '0.931587373844701'))
('YP_003979167', ('YP_003979168', '0.975814119919008'))
('YP_003979163', ('YP_003982585', '0.931390222322551'))
('YP_006799611', ('YP_006799610', '0.99999999999895'))
('YP_003978574', ('YP_003980232', '0.926007616955287'))
('YP_006799185', ('YP_006800824', '0.999853777285632'))
('YP_006797437', ('YP_006797436', '0.999999999849976'))
('YP_006798109', ('YP_006798110', '0.999986717686712'))
('YP_004954675', ('YP_004955054', '0.93120325105747'))
('YP_003979293', ('YP_003982585', '0.931214812142518'))
('YP_006800033', ('YP_006799178', '0.925516300143141'))
('YP_006800032', ('YP_006798390', '0.923430917672722'))
('YP_006800035', ('YP_006800267', '0.931204552945597'))
('YP_006799292', ('YP_006799295', '0.766825078864345'))
('YP_006799290', ('YP_006798109', '0.931203256790425'))
('YP_005622587', ('YP_005624023', '0.995695909780007'))
('YP_005623307', ('YP_005622057', '0.998406929180493'))
('YP_005623491', ('YP_005624025', '0.773977197483267'))
('YP_005623873', ('YP_005623218', '0.931430855971032'))
('YP_002728168', ('YP_002728169', '0.995809517460849'))
('YP_003979586', ('YP_003977776', '0.928658994966454'))
('YP_005624282', ('YP_005624283', '0.960337035822847'))
('YP_005623365', ('YP_005623367', '0.999090369133394'))
('YP_003979345', ('YP_003979348', '0.958903504025154'))
('YP_003979346', ('YP_003979347', '0.956649186159941'))
('YP_003978191', ('YP_003977719', '0.931409277435865'))
('YP_003979348', ('YP_003978603', '0.999999999999986'))
('YP_003978354', ('YP_003976431', '0.931589010018225'))
('YP_003980413', ('YP_003980412', '0.96968389845698'))
('YP_003980143', ('YP_003980161', '0.931562928457606'))
('YP_003980141', ('YP_003981282', '0.972188835493358'))
('YP_003980140', ('YP_003980139', '0.994651192514655'))
('YP_003980419', ('YP_003979950', '0.923568480785577'))
('YP_003978359', ('YP_003979092', '0.67149696850338'))
('YP_005623278', ('YP_005623280', '0.931203251057471'))
('YP_003980366', ('YP_003980855', '0.928547958612128'))
('YP_006797923', ('YP_006800934', '0.999999977993223'))
('YP_003977259', ('YP_003978172', '0.984358410255111'))
('YP_002729368', ('YP_002729369', '0.994672633997818'))
('YP_005625461', ('YP_005624608', '0.93120325105747'))
('YP_002729362', ('YP_002729450', '0.921362941901017'))
('YP_002728761', ('YP_002729514', '1'))
('YP_005624375', ('YP_005625185', '0.523590484901098'))
('YP_005622493', ('YP_005625159', '0.931203251064424'))
('YP_005393645', ('YP_005393644', '0.9946851799514'))
('YP_003980705', ('YP_003977497', '0.69069486684832'))
('YP_002728789', ('YP_002728222', '0.999999552481259'))
('YP_004956347', ('YP_004956370', '0.99984766690515'))
('YP_002728787', ('YP_002728153', '0.99957202935613'))
('YP_003980965', ('YP_003982689', '0.572174801409928'))
('YP_003980966', ('YP_003980805', '0.93120329640502'))
('YP_002729090', ('YP_002728436', '0.9312238580787'))
('YP_003982702', ('YP_003976958', '0.999999999994755'))
('YP_003982701', ('YP_003976959', '0.998818084205671'))
('YP_003982700', ('YP_003977757', '0.957543270110655'))
('YP_003982705', ('YP_003981991', '0.931540711120626'))
('YP_002728300', ('YP_002728420', '0.586130005617486'))
('YP_003980568', ('YP_003977581', '0.99999999998043'))
('YP_002728303', ('YP_002729067', '0.931589741603595'))
('YP_005625159', ('YP_005625158', '0.994489990669326'))
('YP_003982522', ('YP_003982013', '0.931586548797698'))
('YP_003982521', ('YP_003982520', '0.994657215727726'))
('YP_003982520', ('YP_003978290', '0.931237877420294'))
('YP_004956124', ('YP_004954495', '0.931205141037576'))
('YP_003982691', ('YP_003976425', '0.561138884275833'))
('YP_006797262', ('YP_006800023', '0.998760275009438'))
('YP_005622530', ('YP_005623220', '0.999854222163463'))
('YP_003976100', ('YP_003976698', '0.931368298321974'))
('YP_005622532', ('YP_005622533', '0.998841196283027'))
('YP_005622534', ('YP_005622057', '0.998406929180493'))
('YP_005625338', ('YP_005625340', '0.999999948383686'))
('YP_003979625', ('YP_003981553', '0.93124297099401'))
('YP_003976109', ('YP_003980140', '0.999999999979608'))
('YP_005624796', ('YP_005624795', '0.9835684516617'))
('YP_002729414', ('YP_002729053', '0.999281606714268'))
('YP_003982631', ('YP_003982633', '0.931205845608227'))
('YP_003982149', ('YP_003979529', '0.931573725827931'))
('YP_002728417', ('YP_002728418', '0.995958633518405'))
('YP_003976698', ('YP_003982176', '0.931232421916916'))
('YP_005625447', ('YP_005622749', '0.93120325105747'))
('YP_003976691', ('YP_003979707', '0.931203322428512'))
('YP_003982453', ('YP_003980461', '0.999316837753184'))
('YP_003982452', ('YP_003978883', '0.931251592167178'))
('YP_003976694', ('YP_003976854', '0.900609861835398'))
('YP_004956016', ('YP_004956542', '0.55536818624007'))
('YP_004955699', ('YP_004956167', '0.931589151227274'))
('YP_006797116', ('YP_006800051', '0.931206166052329'))
('YP_006797114', ('YP_006797436', '0.995375053372961'))
('YP_003977610', ('YP_003979885', '0.514048428014858'))
('YP_003981843', ('YP_003981491', '0.930547523780727'))
('YP_003981845', ('YP_003979688', '0.988654123888006'))
('YP_003981844', ('YP_003981843', '0.998470254553375'))
('YP_003977340', ('YP_003981282', '0.93120325105747'))
('YP_003979936', ('YP_003979937', '0.995774559641841'))
('YP_005625234', ('YP_005625233', '1'))
('YP_003976214', ('YP_003980941', '0.93143031104216'))
('YP_003979932', ('YP_003976950', '0.84213464807458'))
('YP_003977349', ('YP_003979891', '0.931444669497378'))
('YP_005395166', ('YP_005395293', '0.908352818993106'))
('YP_005393652', ('YP_005394692', '0.945159210816197'))
('YP_003976584', ('YP_003977599', '0.931205055278983'))
('YP_003982031', ('YP_003979707', '0.951869775275214'))
('YP_005622529', ('YP_005623220', '0.97985219219179'))
('YP_003976960', ('YP_003980855', '0.931209400982263'))
('YP_005622355', ('YP_005625072', '0.931519459918686'))
('YP_003976963', ('YP_003981991', '0.931543214019959'))
('YP_003976966', ('YP_003978930', '0.976600918773069'))
('YP_003977981', ('YP_003982031', '0.906045250259044'))
('YP_005624307', ('YP_005624306', '0.994675185060638'))
('YP_006797603', ('YP_006797602', '0.99999990714001'))
('YP_003981938', ('YP_003980461', '0.999999616309973'))
('YP_003978999', ('YP_003976985', '0.930390747067695'))
('YP_003978998', ('YP_003981196', '0.999999999999919'))
('YP_003981935', ('YP_003976380', '0.931214932872733'))
('YP_003978992', ('YP_003978991', '0.999820976255346'))
('YP_005394786', ('YP_005394757', '0.995814965005835'))
('YP_004954872', ('YP_004955108', '0.999999999998236'))
('YP_005395305', ('YP_005395304', '0.993981647576787'))
('YP_005625405', ('YP_005623222', '0.957454050083735'))
('YP_004954659', ('YP_004954658', '0.998043117953716'))
('YP_005394624', ('YP_005394626', '1'))
('YP_005395430', ('YP_005394018', '0.812517876347059'))
('YP_004954654', ('YP_004956567', '0.874815274400119'))
('YP_005625402', ('YP_005625401', '1'))
('YP_003977768', ('YP_003977769', '0.999999999998623'))
('YP_003977760', ('YP_003977401', '0.931203337136769'))
('YP_003977765', ('YP_003976265', '0.982887173280495'))
('YP_003977766', ('YP_003977767', '0.999825978656796'))
('YP_006798823', ('YP_006800548', '0.999984985453888'))
('YP_003981623', ('YP_003981624', '0.991781449166065'))
('YP_005395230', ('YP_005395229', '1'))
('YP_006798770', ('YP_006798769', '0.990709445019114'))
('YP_006798775', ('YP_006798514', '0.999999999967231'))
('YP_003979110', ('YP_003979569', '0.931204694917308'))
('YP_005394966', ('YP_005394696', '0.93120325105747'))
('YP_003981153', ('YP_003979891', '0.93120325105747'))
('YP_003981156', ('YP_003976598', '0.931547335225436'))
('YP_003981154', ('YP_003977551', '0.938652057920472'))
('YP_003978500', ('YP_003977826', '0.93100439996791'))
('YP_006799192', ('YP_006799193', '0.994651295800097'))
('YP_005623064', ('YP_005623065', '1'))
('YP_003978506', ('YP_003979891', '0.931206988664051'))
('YP_005623067', ('YP_005622269', '0.867940497326221'))
('YP_004955300', ('YP_004954645', '0.931275590714977'))
('YP_006797428', ('YP_006798379', '0.999999868077156'))
('YP_006797420', ('YP_006799157', '0.931203251058261'))
('YP_003981966', ('YP_003982008', '0.93120325105747'))
('YP_003980855', ('YP_003980800', '0.931315751482222'))
('YP_004956449', ('YP_004956448', '1'))
('YP_003979021', ('YP_003979577', '0.931205249059905'))
('YP_003979023', ('YP_003980161', '0.931584541698424'))
('YP_003978216', ('YP_003977768', '0.999666335072736'))
('YP_006799281', ('YP_006799282', '0.994350657358279'))
('YP_006799280', ('YP_006798705', '0.931554836064632'))
('YP_006799282', ('YP_006799249', '0.753540635625322'))
('YP_005622751', ('YP_005622748', '0.960974019532936'))
('YP_005623469', ('YP_005623468', '1'))
('YP_005623688', ('YP_005623687', '0.931506803823687'))
('YP_003980916', ('YP_003978603', '0.999999996563107'))
('YP_005623680', ('YP_005624374', '0.931303360094283'))
('YP_005623682', ('YP_005623670', '0.97574608826589'))
('YP_006798001', ('YP_006799464', '0.999999998962922'))
('YP_002728171', ('YP_002729266', '0.878500486577165'))
('YP_006797941', ('YP_006800216', '0.9228357875159'))
('YP_003978321', ('YP_003976380', '0.931214789291868'))
('YP_003980170', ('YP_003976425', '0.561138884275833'))
('YP_003979979', ('YP_003976425', '0.56070599435284'))
('YP_003978324', ('YP_003981415', '0.947773512148565'))
('YP_003980177', ('YP_003982288', '0.991774204782655'))
('YP_005623208', ('YP_005624458', '0.93120325105747'))
('YP_006798481', ('YP_006798680', '0.925871519946183'))
('YP_006800190', ('YP_006800382', '0.931214557467265'))
('YP_006797939', ('YP_006799119', '0.88916395650161'))
('YP_006797931', ('YP_006797932', '1'))
('YP_006797280', ('YP_006797282', '0.995843203401546'))
('YP_005624092', ('YP_005622057', '0.997938499752265'))
('YP_005624097', ('YP_005624025', '0.93120325105747'))
('YP_005624308', ('YP_005626059', '0.924195180577618'))
('YP_005393653', ('YP_005394128', '0.701242676623427'))
('YP_003980281', ('YP_003980280', '0.918691595195505'))
('YP_003979243', ('YP_003978324', '0.93120325105747'))
('YP_003978038', ('YP_003978037', '1'))
('YP_005623514', ('YP_005623515', '0.995827498502016'))
('YP_005623515', ('YP_005623516', '0.997101526375439'))
('YP_005623516', ('YP_005623436', '0.956196915164496'))
('YP_003978037', ('YP_003981534', '0.997872941368923'))
('YP_003978031', ('YP_003979882', '0.998896577570256'))
('YP_005624527', ('YP_005623414', '0.969343845428074'))
('YP_002728797', ('YP_002728473', '0.793348412753741'))
('YP_002728796', ('YP_002728207', '0.999999999999995'))
('YP_006800403', ('YP_006800404', '0.992330631242404'))
('YP_003980914', ('YP_003978726', '0.931582384696787'))
('YP_003980915', ('YP_003980914', '0.938034693943485'))
('YP_003979747', ('YP_003976425', '0.56070599435284'))
('YP_003980919', ('YP_003980891', '0.931275663562509'))
('YP_005394203', ('YP_005393667', '0.993787974864487'))
('YP_004956145', ('YP_004956146', '1'))
('YP_002728310', ('YP_002728205', '0.999999999210637'))
('YP_002728318', ('YP_002728685', '0.993448991880944'))
('YP_002729463', ('YP_002728231', '0.93120325105747'))
('YP_003982283', ('YP_003977551', '0.945266771879873'))
('YP_003980829', ('YP_003980830', '0.954500246951672'))
('YP_003980824', ('YP_003981992', '1'))
('YP_003976116', ('YP_003977313', '0.931588958741939'))
('YP_003976111', ('YP_003976110', '0.995767435190376'))
('YP_003976110', ('YP_003982202', '0.931205225383622'))
('YP_005622813', ('YP_005622812', '0.995231735500751'))
('YP_005622819', ('YP_005625072', '0.931522289333261'))
('YP_004955911', ('YP_004955910', '0.996674233572387'))
('YP_002728958', ('YP_002728095', '0.999881377279881'))
('YP_002729136', ('YP_002728682', '0.93120325105747'))
('YP_002728402', ('YP_002728654', '0.931203251089431'))
('YP_003976685', ('YP_003982383', '0.973206509416859'))
('YP_004955964', ('YP_004955054', '0.931383757437589'))
('YP_005625451', ('YP_005623873', '0.931434531013579'))
('YP_005394551', ('YP_005394631', '0.999951776152041'))
('YP_004955041', ('YP_004954685', '0.931203537838828'))
('YP_003976689', ('YP_003977431', '0.926586145692862'))
('YP_003982198', ('YP_003982202', '0.942282488937185'))
('YP_003982199', ('YP_003979169', '0.999992068778357'))
('YP_004956066', ('YP_004956065', '0.999999997534561'))
('YP_004956067', ('YP_004956065', '0.99362785646813'))
('YP_003982193', ('YP_003980897', '0.931383847052327'))
('YP_003982191', ('YP_003979169', '0.999999743686513'))
('YP_003976209', ('YP_003976208', '0.999999999997814'))
('YP_005622259', ('YP_005622260', '0.99865981319759'))
('YP_003982121', ('YP_003982120', '0.999999999999865'))
('YP_003979926', ('YP_003978274', '0.931512149569994'))
('YP_003976599', ('YP_003979348', '0.999999999995596'))
('YP_003976598', ('YP_003976498', '0.931518674266509'))
('YP_006799948', ('YP_006800182', '0.93120325105747'))
('YP_006799947', ('YP_006797340', '0.930306721485537'))
('YP_003976597', ('YP_003977555', '0.931281808742938'))
('YP_003976596', ('YP_003976380', '0.928861067208329'))
('YP_003976970', ('YP_003978148', '0.999946109286124'))
('YP_005624631', ('YP_005624630', '0.998656427101277'))
('YP_003977089', ('YP_003976513', '0.927621259012857'))
('YP_004955618', ('YP_004955483', '0.980305001959484'))
('YP_004956665', ('YP_004956506', '0.930946185503452'))
('YP_003977579', ('YP_003977580', '0.999998922549021'))
('YP_004956469', ('YP_004956470', '0.997389438972254'))
('YP_003981940', ('YP_003981253', '0.931587939625871'))
('YP_003981941', ('YP_003981872', '0.931588302903505'))
('YP_003981942', ('YP_003976380', '0.931214994797548'))
('YP_003981945', ('YP_003978430', '0.931418688563152'))
('YP_003981947', ('YP_003976513', '0.925898417968422'))
('YP_005394796', ('YP_005393995', '0.999999878781254'))
('YP_003981430', ('YP_003977757', '0.958810359176998'))
('YP_005622673', ('YP_005624034', '0.548446728861628'))
('YP_004955865', ('YP_004954810', '0.931218376653995'))
('YP_006800951', ('YP_006800953', '1'))
('YP_005622108', ('YP_005626109', '0.999781314739293'))
('YP_003981094', ('YP_003976463', '0.931586039898784'))
('YP_003981767', ('YP_003978628', '0.830209687789437'))
('YP_005395448', ('YP_005394400', '0.499789772730858'))
('YP_005395449', ('YP_005394382', '0.903533976298798'))
('YP_004955265', ('YP_004955264', '0.999999961351224'))
('YP_003977793', ('YP_003977799', '0.941652868500798'))
('YP_005624899', ('YP_005624021', '0.776448675527401'))
('YP_003980821', ('YP_003978463', '0.906729872733407'))
('YP_003977404', ('YP_003982031', '0.954408717999001'))
('YP_003977407', ('YP_003981635', '0.540535309394161'))
('YP_003977401', ('YP_003981159', '0.95862275551695'))
('YP_004954791', ('YP_004954793', '0.931470006750101'))
('YP_003977150', ('YP_003977151', '0.995873198066357'))
('YP_004954793', ('YP_004954794', '0.934050945024462'))
('YP_004954794', ('YP_004956404', '0.931589194966969'))
('YP_004954797', ('YP_004954796', '0.999916770361949'))
('YP_004955717', ('YP_004955716', '0.99464915498639'))
('YP_003979734', ('YP_003981110', '0.931501203452538'))
('YP_003979108', ('YP_003977497', '0.690400737611128'))
('YP_003981168', ('YP_003978324', '0.931210834088765'))
('YP_003981166', ('YP_003976698', '0.93120325105747'))
('YP_003981167', ('YP_003979688', '0.999999982040995'))
('YP_003981163', ('YP_003981164', '0.999999336874842'))
('YP_003981161', ('YP_003980161', '0.931589419439608'))
('YP_005623079', ('YP_005625006', '0.998522519490986'))
('YP_003978513', ('YP_003976598', '0.931587377281359'))
('YP_003978510', ('YP_003980745', '0.991556976750258'))
('YP_005623076', ('YP_005623075', '0.982456299227489'))
('YP_003978514', ('YP_003979969', '0.90993559423407'))
('YP_005622084', ('YP_005622083', '0.996951650214699'))
('YP_006797413', ('YP_006798670', '0.93120325105747'))
('YP_006797414', ('YP_006798417', '0.999638557120913'))
('YP_005394818', ('YP_005394817', '0.998862259023497'))
('YP_006798164', ('YP_006800344', '0.89075023359364'))
('YP_003979035', ('YP_003982585', '0.928794723168975'))
('YP_003979034', ('YP_003982689', '0.564348690696111'))
('YP_003979032', ('YP_003977311', '0.931500534051932'))
('YP_006798381', ('YP_006799555', '0.642504038541475'))
('YP_006798380', ('YP_006798379', '0.959205538174525'))
('YP_005623695', ('YP_005622057', '0.998406929180493'))
('YP_006799014', ('YP_006799015', '1'))
('YP_003979323', ('YP_003977313', '0.931589444525639'))
('YP_006799388', ('YP_006799892', '0.90211916631142'))
('YP_003979329', ('YP_003976883', '0.999999999205318'))
('YP_003980161', ('YP_003977554', '0.931576465758866'))
('YP_006800182', ('YP_006797335', '0.931404385813501'))
('YP_006798495', ('YP_006797409', '0.931203251057499'))
('YP_003980345', ('YP_003979882', '0.998468007979202'))
('YP_003980344', ('YP_003979411', '0.954371537510533'))
('YP_006800566', ('YP_006800567', '0.997786653698977'))
('YP_003980343', ('YP_003980344', '0.997445429613809'))
('YP_003980610', ('YP_003976485', '0.58113658268522'))
('YP_003980769', ('YP_003980766', '0.884247837685806'))
('YP_002728095', ('YP_002728793', '0.999679352005517'))
('YP_003978029', ('YP_003978031', '0.99713362644554'))
('YP_003978028', ('YP_003978918', '0.93120325105747'))
('YP_003978027', ('YP_003980422', '0.931589391650606'))
('YP_003980760', ('YP_003981132', '0.931539188759771'))
('YP_003980766', ('YP_003981257', '0.873749838650165'))
('YP_003980764', ('YP_003980766', '0.931237826021941'))
('YP_004956329', ('YP_004954807', '0.93120325105747'))
('YP_005624537', ('YP_005623840', '0.614199727973035'))
('YP_004956323', ('YP_004955054', '0.93120325105747'))
('YP_004956327', ('YP_004956328', '1'))
('YP_004955053', ('YP_004955054', '0.999999933718102'))
('YP_002729233', ('YP_002729234', '0.999358969030755'))
('YP_003982729', ('YP_003978624', '0.745136000924702'))
('YP_002728325', ('YP_002729546', '0.987507319746316'))
('YP_002728320', ('YP_002728994', '0.999999999939607'))
('YP_003980584', ('YP_003981176', '0.931235912227023'))
('YP_003980582', ('YP_003980581', '0.997314347798835'))
('YP_003980580', ('YP_003982575', '0.928004968202335'))
('YP_005624628', ('YP_005622389', '0.986725205431535'))
('YP_003982295', ('YP_003982296', '0.995682161891615'))
('YP_005624621', ('YP_005624618', '0.947585754565209'))
('YP_005624620', ('YP_005622057', '0.998406929180493'))
('YP_004956255', ('YP_004956254', '0.994651281284582'))
('YP_003980837', ('YP_003978449', '0.931587627369648'))
('YP_005394092', ('YP_005394102', '0.999946685503833'))
('YP_003979643', ('YP_003981783', '0.930473760976247'))
('YP_003979644', ('YP_003981483', '0.931588701044751'))
('YP_004955768', ('YP_004955767', '0.996055604973334'))
('YP_003979487', ('YP_003981991', '0.931545261844431'))
('YP_006797251', ('YP_006799960', '0.814530839213484'))
('YP_005625040', ('YP_005623434', '0.954631730864612'))
('YP_005625041', ('YP_005625042', '0.998037313765031'))
('YP_005625042', ('YP_005625302', '0.931400020996413'))
('YP_002729129', ('YP_002729128', '0.994675185060638'))
('YP_002728435', ('YP_002728021', '0.874276544240041'))
('YP_003979929', ('YP_003980194', '0.93143818273519'))
('YP_003978688', ('YP_003976513', '0.928385798744916'))
('YP_003982479', ('YP_003982480', '1'))
('YP_003982478', ('YP_003982477', '1'))
('YP_004955078', ('YP_004955079', '0.999999498828957'))
('YP_004955675', ('YP_004954623', '0.958545788495577'))
('YP_003982181', ('YP_003977567', '0.930216624421801'))
('YP_006797137', ('YP_006799938', '0.769594546998492'))
('YP_004956078', ('YP_004955608', '0.874978591825295'))
('YP_003977361', ('YP_003976229', '0.93120325105747'))
('YP_003977360', ('YP_003976229', '0.93120325105747'))
('YP_003977363', ('YP_003978918', '0.995137654947457'))
('YP_003977362', ('YP_003977361', '0.994653270873476'))
('YP_003976760', ('YP_003980348', '0.999941481782821'))
('YP_005622240', ('YP_005622057', '0.998406929180493'))
('YP_005622488', ('YP_005622057', '0.998406929180493'))
('YP_006799956', ('YP_006797996', '0.959802931162623'))
('YP_003979792', ('YP_003981993', '0.939694907804116'))
('YP_003979790', ('YP_003976431', '0.931512049932045'))
('YP_003979791', ('YP_003979790', '0.994651192514655'))
('YP_002729053', ('YP_002729330', '0.931252345902809'))
('YP_002729052', ('YP_002729053', '1'))
('YP_003981554', ('YP_003981490', '0.912078330978703'))
('YP_003981553', ('YP_003980305', '0.9279844191187'))
('YP_005624957', ('YP_005624959', '1'))
('YP_003981889', ('YP_003979168', '0.660809068221218'))
('YP_003981559', ('YP_003979929', '0.931453793009607'))
('YP_003981558', ('YP_003977826', '0.931456058553658'))
('YP_004955413', ('YP_004956448', '0.931203268752908'))
('YP_004956676', ('YP_004956671', '0.987344671201311'))
('YP_003981958', ('YP_003981168', '0.931212896812307'))
('YP_005394011', ('YP_005393925', '0.999991802979003'))
('YP_003977563', ('YP_003981234', '0.99999962211002'))
('YP_003977562', ('YP_003977563', '0.999999293807076'))
('YP_003977566', ('YP_003980459', '0.931587203703435'))
('YP_003977565', ('YP_003977566', '0.994651192987592'))
('YP_004955894', ('YP_004954794', '0.931588563205553'))
('YP_004955892', ('YP_004955893', '0.936176004746417'))
('YP_004955893', ('YP_004956513', '0.929020190556735'))
('YP_003981423', ('YP_003977648', '0.999999992715978'))
('YP_003981422', ('YP_003977649', '1'))
('YP_003981421', ('YP_003981420', '0.994652203418804'))
('YP_003981420', ('YP_003976949', '0.931203251057494'))
('YP_003981425', ('YP_003980796', '0.931203266732547'))
('YP_003981424', ('YP_003981409', '0.99996881941645'))
('YP_005395452', ('YP_005395451', '0.994654269684583'))
('YP_003980447', ('YP_003978495', '0.93120325105747'))
('YP_005395450', ('YP_005394309', '0.999999970717994'))
('YP_005622118', ('YP_005626121', '0.957206306518511'))
('YP_005622111', ('YP_005626110', '0.991662431927314'))
('YP_004955524', ('YP_004955523', '0.994436792736105'))
('YP_005624881', ('YP_005624882', '0.994599635500792'))
('YP_003977783', ('YP_003982702', '0.745519722284069'))
('YP_005624885', ('YP_005624886', '0.994621000103992'))
('YP_006797713', ('YP_006799686', '0.784864562753388'))
('YP_003977789', ('YP_003978495', '0.93120325105747'))
('YP_003977788', ('YP_003981991', '0.931546473638039'))
('YP_003981390', ('YP_003980305', '0.877972529340195'))
('YP_003977146', ('YP_003980766', '0.886275321096563'))
('YP_003981394', ('YP_003981483', '0.931589718540052'))
('YP_003976948', ('YP_003977311', '0.931497824166809'))
('YP_003976949', ('YP_003978321', '0.931360758089982'))
('YP_003976414', ('YP_003976413', '0.99999999998341'))
('YP_004954782', ('YP_004955494', '0.618925278692095'))
('YP_003976416', ('YP_003980881', '0.93149565890174'))
('YP_003977149', ('YP_003980766', '0.931203253791431'))
('YP_003976411', ('YP_003976413', '0.999999745057575'))
('YP_003977419', ('YP_003977418', '0.975806183984846'))
('YP_003977418', ('YP_003976530', '0.939944901418726'))
('YP_003979136', ('YP_003978918', '0.998024884054226'))
('YP_003979134', ('YP_003976229', '0.93120325105747'))
('YP_003979135', ('YP_003979134', '0.994649894867289'))
('YP_003979133', ('YP_003981476', '0.931589391883273'))
('YP_003981172', ('YP_003977311', '0.931497824166809'))
('YP_003981176', ('YP_003981177', '0.994653731854256'))
('YP_003978526', ('YP_003976949', '0.931360507427758'))
('YP_005623047', ('YP_005625785', '0.601541880505299'))
('YP_003981378', ('YP_003976291', '0.991153002306502'))
('YP_003981375', ('YP_003978617', '0.877955257167562'))
('YP_004955322', ('YP_004955323', '0.999376270509156'))
('YP_006797409', ('YP_006799638', '0.983052556491953'))
('YP_006797408', ('YP_006797409', '0.99964013381822'))
('YP_003981082', ('YP_003981081', '1'))
('YP_006798623', ('YP_006798637', '0.712685362788012'))
('YP_003979000', ('YP_003981200', '0.960807516172882'))
('YP_006799717', ('YP_006799716', '0.999991666413003'))
('YP_003979004', ('YP_003979854', '0.931263694954096'))
('YP_006799714', ('YP_006799713', '0.999951132266432'))
('YP_005624949', ('YP_005624950', '0.999999999998571'))
('YP_005624283', ('YP_005624284', '0.973986813672427'))
('YP_003978232', ('YP_003977649', '1'))
('YP_003978233', ('YP_003981422', '1'))
('YP_003978231', ('YP_003977757', '0.963407897316952'))
('YP_005623022', ('YP_005623075', '0.931203763139511'))
('YP_003978234', ('YP_003976698', '0.93120325105747'))
('YP_003978235', ('YP_003978234', '0.994655790193349'))
('YP_003978238', ('YP_003981421', '0.931351640292961'))
('YP_003978239', ('YP_003978238', '0.994372949046405'))
('YP_002728153', ('YP_002728788', '0.965336167195904'))
('YP_006799009', ('YP_006798670', '0.93120325105747'))
('YP_006799005', ('YP_006797629', '0.93156390885227'))
('YP_003980415', ('YP_003979108', '0.686244889121625'))
('YP_006800773', ('YP_006800936', '0.931251554271168'))
('YP_003978305', ('YP_003978692', '0.998941667533447'))
('YP_003980114', ('YP_003977054', '0.999924413628042'))
('YP_005623221', ('YP_005622529', '0.999860413603643'))
('YP_003980330', ('YP_003976883', '1'))
('YP_003978603', ('YP_003980888', '0.999999999999459'))
('YP_003980336', ('YP_003976474', '0.93120325105747'))
('YP_003980338', ('YP_003980218', '0.598106143513571'))
('YP_003978601', ('YP_003981234', '0.93120325105747'))
('YP_003978600', ('YP_003977757', '0.95259664409352'))
('YP_002729330', ('YP_002729257', '0.667335966292013'))
('YP_006798446', ('YP_006800160', '0.916658102112868'))
('YP_005624326', ('YP_005625569', '0.893187407780943'))
('YP_003978604', ('YP_003978603', '0.999999999701018'))
('YP_003979266', ('YP_003978291', '0.931478600576813'))
('YP_002728083', ('YP_002729136', '0.931203734804085'))
('YP_005623538', ('YP_005623537', '0.998109221270621'))
('YP_003980755', ('YP_003980829', '0.93158966801327'))
('YP_003980752', ('YP_003979897', '0.999999999999758'))
('YP_003980753', ('YP_003979897', '0.999915854017911'))
('YP_003977571', ('YP_003980100', '0.691560582538376'))
('YP_003981095', ('YP_003980829', '0.931589726817706'))
('YP_003978013', ('YP_003982001', '0.931204090621221'))
('YP_005623537', ('YP_005625693', '0.93120325105747'))
('YP_004956317', ('YP_004956178', '0.931296917095545'))
('YP_003980939', ('YP_003982176', '0.931232421916916'))
('YP_003980937', ('YP_003976556', '0.999999981405623'))
('YP_003980932', ('YP_003980694', '0.949646189284703'))
('YP_006800427', ('YP_006799767', '0.505747567859992'))
('YP_003980930', ('YP_003980855', '0.9307400004355'))
('YP_003980931', ('YP_003977757', '0.961516180618756'))
('YP_002729203', ('YP_002729625', '0.945532196331773'))
('YP_005625129', ('YP_005625302', '0.931402614522899'))
('YP_005624186', ('YP_005624184', '0.931566446932361'))
('YP_005625126', ('YP_005625127', '1'))
('YP_005624436', ('YP_005623152', '0.931209960039243'))
('YP_005624437', ('YP_005624715', '0.931485552854062'))
('YP_006800556', ('YP_006800382', '0.931214468302875'))
('YP_006800555', ('YP_006798759', '0.683662871307434'))
('YP_004954725', ('YP_004954724', '0.974712338673274'))
('YP_003982261', ('YP_003977013', '0.676979507678956'))
('YP_004956262', ('YP_004956263', '1'))
('YP_003980808', ('YP_003979688', '0.999907337887655'))
('YP_003980809', ('YP_003981991', '0.931539441439615'))
('YP_005394125', ('YP_005393653', '0.524709335485799'))
('YP_003979652', ('YP_003976625', '0.931282722353204'))
('YP_005622872', ('YP_005622874', '1'))
('YP_003980801', ('YP_003981991', '0.931545667192055'))
('YP_003980806', ('YP_003981487', '0.931205410810767'))
('YP_005394086', ('YP_005393648', '0.931203277551769'))
('YP_003980804', ('YP_003980805', '0.994653270906813'))
('YP_003980805', ('YP_003982679', '0.931206612517667'))
('YP_003982669', ('YP_003978495', '0.93120325105747'))
('YP_002729117', ('YP_002728505', '0.999976515135699'))
('YP_003982662', ('YP_003980806', '0.931205395990776'))
('YP_003982663', ('YP_003978727', '0.945753325021515'))
('YP_003982664', ('YP_003982665', '0.994652203390441'))
('YP_003982665', ('YP_003977563', '0.963094719923378'))
